Exome.sampleid	Exome.bamfile	Exome.bampath	Exome.bamfilename	Patient
TIIL_0173	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0173/alignment/TIIL_0173.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0173	TIIL_0173.bwamem.merged.rmdup.bam	HN23-10752
TIIL_0174	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0174/alignment/TIIL_0174.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0174	TIIL_0174.bwamem.merged.rmdup.bam	HN23-10752
TIIL_0176	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0176/alignment/TIIL_0176.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0176	TIIL_0176.bwamem.merged.rmdup.bam	HN23-10752
TIIL_0191	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0191/alignment/TIIL_0191.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0191	TIIL_0191.bwamem.merged.rmdup.bam	HN23-10752
TIIL_0192	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0192/alignment/TIIL_0192.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0192	TIIL_0192.bwamem.merged.rmdup.bam	HN23-10752
TIIL_0177	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0177/alignment/TIIL_0177.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0177	TIIL_0177.bwamem.merged.rmdup.bam	HN24-10791
TIIL_0178	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0178/alignment/TIIL_0178.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0178	TIIL_0178.bwamem.merged.rmdup.bam	HN24-10791
TIIL_0179	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0179/alignment/TIIL_0179.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0179	TIIL_0179.bwamem.merged.rmdup.bam	HN24-10791
TIIL_0180	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0180/alignment/TIIL_0180.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0180	TIIL_0180.bwamem.merged.rmdup.bam	HN24-10810
TIIL_0181	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0181/alignment/TIIL_0181.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0181	TIIL_0181.bwamem.merged.rmdup.bam	HN24-10810
TIIL_0182	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0182/alignment/TIIL_0182.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0182	TIIL_0182.bwamem.merged.rmdup.bam	HN24-10810
TIIL_0183	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0183/alignment/TIIL_0183.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0183	TIIL_0183.bwamem.merged.rmdup.bam	HN24-10810
TIIL_0184	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0184/alignment/TIIL_0184.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0184	TIIL_0184.bwamem.merged.rmdup.bam	HN24-10810
TIIL_0185	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0185/alignment/TIIL_0185.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0185	TIIL_0185.bwamem.merged.rmdup.bam	HN24-10810
TIIL_0193	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0193/alignment/TIIL_0193.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0193	TIIL_0193.bwamem.merged.rmdup.bam	HN24-10810
TIIL_0261	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0261/alignment/TIIL_0261.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0261	TIIL_0261.bwamem.merged.rmdup.bam	HN24-10810
TIIL_0186	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0186/alignment/TIIL_0186.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0186	TIIL_0186.bwamem.merged.rmdup.bam	HN24-10831
TIIL_0187	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0187/alignment/TIIL_0187.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0187	TIIL_0187.bwamem.merged.rmdup.bam	HN24-10831
TIIL_0188	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0188/alignment/TIIL_0188.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0188	TIIL_0188.bwamem.merged.rmdup.bam	HN24-10831
TIIL_0189	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0189/alignment/TIIL_0189.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0189	TIIL_0189.bwamem.merged.rmdup.bam	HN24-10831
TIIL_0194	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0194/alignment/TIIL_0194.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0194	TIIL_0194.bwamem.merged.rmdup.bam	HN24-10831
TIIL_0195	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0195/alignment/TIIL_0195.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0195	TIIL_0195.bwamem.merged.rmdup.bam	HN24-10831
TIIL_0262	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0262/alignment/TIIL_0262.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0262	TIIL_0262.bwamem.merged.rmdup.bam	HN24-10856
TIIL_0263	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0263/alignment/TIIL_0263.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0263	TIIL_0263.bwamem.merged.rmdup.bam	HN24-10856
TIIL_0264	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0264/alignment/TIIL_0264.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0264	TIIL_0264.bwamem.merged.rmdup.bam	HN24-10856
TIIL_0265	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0265/alignment/TIIL_0265.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0265	TIIL_0265.bwamem.merged.rmdup.bam	HN24-10856
TIIL_0266	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0266/alignment/TIIL_0266.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0266	TIIL_0266.bwamem.merged.rmdup.bam	HN24-10856
TIIL_0267	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0267/alignment/TIIL_0267.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0267	TIIL_0267.bwamem.merged.rmdup.bam	HN24-10856
TIIL_0268	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0268/alignment/TIIL_0268.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0268	TIIL_0268.bwamem.merged.rmdup.bam	HN24-10856
TIIL_0269	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0269/alignment/TIIL_0269.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0269	TIIL_0269.bwamem.merged.rmdup.bam	HN24-10856
TIIL_0270	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0270/alignment/TIIL_0270.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0270	TIIL_0270.bwamem.merged.rmdup.bam	HN24-10856
TIIL_0271	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0271/alignment/TIIL_0271.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0271	TIIL_0271.bwamem.merged.rmdup.bam	HN24-10909
TIIL_0272	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0272/alignment/TIIL_0272.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0272	TIIL_0272.bwamem.merged.rmdup.bam	HN24-10909
TIIL_0273	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0273/alignment/TIIL_0273.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0273	TIIL_0273.bwamem.merged.rmdup.bam	HN24-10909
TIIL_0274	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0274/alignment/TIIL_0274.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0274	TIIL_0274.bwamem.merged.rmdup.bam	HN24-10909
TIIL_0275	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0275/alignment/TIIL_0275.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0275	TIIL_0275.bwamem.merged.rmdup.bam	HN24-10909
TIIL_0276	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0276/alignment/TIIL_0276.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0276	TIIL_0276.bwamem.merged.rmdup.bam	HN24-10909
TIIL_0277	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0277/alignment/TIIL_0277.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0277	TIIL_0277.bwamem.merged.rmdup.bam	HN24-10909
TIIL_0278	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0278/alignment/TIIL_0278.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0278	TIIL_0278.bwamem.merged.rmdup.bam	HN24-10909
TIIL_0279	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0279/alignment/TIIL_0279.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0279	TIIL_0279.bwamem.merged.rmdup.bam	HN24-10909
TIIL_0280	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0280/alignment/TIIL_0280.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0280	TIIL_0280.bwamem.merged.rmdup.bam	HN24-10900
TIIL_0281	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0281/alignment/TIIL_0281.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0281	TIIL_0281.bwamem.merged.rmdup.bam	HN24-10900
TIIL_0282	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0282/alignment/TIIL_0282.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0282	TIIL_0282.bwamem.merged.rmdup.bam	HN24-10900
TIIL_0283	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0283/alignment/TIIL_0283.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0283	TIIL_0283.bwamem.merged.rmdup.bam	HN24-10900
TIIL_0284	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0284/alignment/TIIL_0284.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0284	TIIL_0284.bwamem.merged.rmdup.bam	HN24-10900
TIIL_0285	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0285/alignment/TIIL_0285.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0285	TIIL_0285.bwamem.merged.rmdup.bam	HN24-10936
TIIL_0286	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0286/alignment/TIIL_0286.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0286	TIIL_0286.bwamem.merged.rmdup.bam	HN24-10936
TIIL_0287	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0287/alignment/TIIL_0287.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0287	TIIL_0287.bwamem.merged.rmdup.bam	HN24-10936
TIIL_0288	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0288/alignment/TIIL_0288.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0288	TIIL_0288.bwamem.merged.rmdup.bam	HN24-10936
TIIL_0289	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0289/alignment/TIIL_0289.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0289	TIIL_0289.bwamem.merged.rmdup.bam	HN24-10936
TIIL_0290	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0290/alignment/TIIL_0290.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0290	TIIL_0290.bwamem.merged.rmdup.bam	HN24-10936
